city,lat,long,alt,avgTemp,avgPressure,avgDewPt,precipitation,maxHumidity,minHumidity,tzName,utc
"TOKYO,Japan",35.6894875,139.6917064,37.14537048,5.870967742,1016.405484,-3.193548387,1.338709677,66.96774194,24.87096774,Asia/Tokyo,9
"JAKARTA,Indonesia",-6.1744651,106.822745,14.06617355,29.16666667,1010.811333,24.2,0,94.36666667,58.33333333,Asia/Jakarta,7
"NewYork(NY),UnitedStates",40.7127837,-74.0059413,10.43549824,2.387096774,1016.064516,-4.225806452,8.275483871,80.70967742,44.32258065,America/New_York,-5
"SEOUL,SouthKorea",37.566535,126.9779692,41.98091507,-2.806451613,1025.527419,-12,0.022580645,58.77419355,23.58064516,Asia/Seoul,9
"MANILA,Philippines",14.5995124,120.9842195,8.0038414,28.32258065,1011.594839,23.38709677,0.096774194,79.48387097,50.51612903,Asia/Manila,8
"Mumbai(Bombay),India",19.0759837,72.8776559,5.45586729,23.4516129,1013.840645,13.5483871,0,77,23.41935484,Asia/Kolkata,5.5
"SaoPaulo,Brazil",-23.5505199,-46.6333094,767.487915,23.93548387,1015.271935,17.70967742,0,87.4516129,53.41935484,America/Sao_Paulo,-2
"MEXICOCITY,Mexico",19.4326077,-99.133208,2229.722168,14.09677419,1022.349032,0.419354839,0.061290323,69.35483871,22,America/Mexico_City,-6
"Delhi,India",28.7040592,77.1024902,218.0439606,15.19354839,1016.945484,9.64516129,0,97.32258065,40.4516129,Asia/Kolkata,5.5
"Osaka,Japan",34.6937378,135.5021651,3.649514675,5.935483871,1019.092258,-1.709677419,0,79.5483871,41.90322581,Asia/Tokyo,9
"CAIRO,Egypt",30.0444196,31.2357116,26.7389431,13.61290323,1021.204839,5.129032258,0.135483871,77.06451613,32.32258065,Africa/Cairo,2
"Kolkata(Calcutta),India",22.572646,88.363895,13.94972324,19.4516129,1014.798387,14.06451613,0.019354839,93.90322581,36.22580645,Asia/Kolkata,5.5
"LosAngeles(CA),UnitedStates",34.0522342,-118.2436849,86.84709167,14.38709677,1018.354839,6.806451613,2.596774194,86.61290323,42.70967742,America/Los_Angeles,-8
"Shanghai,China",31.230416,121.473701,16.13778877,4.935483871,1026.950323,-0.290322581,0,88.74193548,52.09677419,Asia/Shanghai,8
"MOSCOW,Russia",55.755826,37.6173,151.7858734,-10.67741935,1011.719677,-12.64516129,0,93.38709677,75.93548387,Europe/Moscow,3
