city,lat,long,alt,avgTemp,avgPressure,avgDewPt,precipitation,maxHumidity,minHumidity,tzName,utc
"TOKYO,Japan",35.6894875,139.6917064,37.14537048,23.27272727,1008.948182,17.90909091,4.727272727,93.72727273,46.72727273,Asia/Tokyo,9
"JAKARTA,Indonesia",-6.1744651,106.822745,14.06617355,28.54545455,1010.305455,23.18181818,0,95.72727273,54.54545455,Asia/Jakarta,7
"NewYork(NY),UnitedStates",40.7127837,-74.0059413,10.43549824,22.36363636,1014.454545,11.63636364,0.092727273,73.54545455,31.63636364,America/New_York,-4
"SEOUL,SouthKorea",37.566535,126.9779692,41.98091507,23.45454545,1005.914545,16.81818182,0.727272727,77.81818182,41.72727273,Asia/Seoul,9
"MANILA,Philippines",14.5995124,120.9842195,8.0038414,28,1009.953636,24.18181818,7.636363636,87.72727273,57,Asia/Manila,8
"Mumbai(Bombay),India",19.0759837,72.8776559,5.45586729,30,1005.268182,25.72727273,6.663636364,85.81818182,55.45454545,Asia/Kolkata,5.5
"SaoPaulo,Brazil",-23.5505199,-46.6333094,767.487915,14.54545455,1024.972727,7.545454545,0,91.36363636,39.09090909,America/Sao_Paulo,-3
"MEXICOCITY,Mexico",19.4326077,-99.133208,2229.722168,19.18181818,1023.155455,10.54545455,1.718181818,83.36363636,37.63636364,America/Mexico_City,-5
"Delhi,India",28.7040592,77.1024902,218.0439606,33.90909091,1000.052727,21.45454545,0.654545455,71.36363636,28.36363636,Asia/Kolkata,5.5
"Osaka,Japan",34.6937378,135.5021651,3.649514675,24.63636364,1007.360909,17.63636364,0,88.18181818,50.72727273,Asia/Tokyo,9
"CAIRO,Egypt",30.0444196,31.2357116,26.7389431,29.36363636,1010.173636,15.72727273,0,77.54545455,15.81818182,Africa/Cairo,2
"Kolkata(Calcutta),India",22.572646,88.363895,13.94972324,30.18181818,1000.471818,26,2.081818182,94.09090909,57.18181818,Asia/Kolkata,5.5
"LosAngeles(CA),UnitedStates",34.0522342,-118.2436849,86.84709167,21.72727273,1014.181818,12.54545455,0,81.18181818,43.81818182,America/Los_Angeles,-7
"Shanghai,China",31.230416,121.473701,16.13778877,26.18181818,1005.170909,21.72727273,0,95.81818182,63.27272727,Asia/Shanghai,8
"MOSCOW,Russia",55.755826,37.6173,151.7858734,17.54545455,1012.108182,12.09090909,0,95.54545455,51.72727273,Europe/Moscow,3
"BEIJING(PEKING),China",39.904211,116.407395,51.83703613,24.81818182,1002.472727,15.72727273,1.318181818,89.90909091,27.45454545,Asia/Shanghai,8
"BUENOSAIRES,Argentina",-34.6036844,-58.3815591,29.08253288,10.45454545,1026.016364,5.454545455,0,88,46.18181818,America/Buenos_Aires,-3
