city,lat,alt,avgTemp,avgPressure,precipitation,maxHumidity,minHumidity,utc
"TOKYO,Japan",0.198274931,-0.491393331,-0.252776009,-0.552462221,0.155804329,0.669677419,0.248709677,9
"JAKARTA,Indonesia",-0.034302584,-0.538643387,1.618337687,-1.415321636,-0.483092018,0.943666667,0.583333333,7
"NewYork(NY),UnitedStates",0.226182132,-0.546076471,-0.532600998,-0.605054196,3.466365067,0.807096774,0.443225807,-5
"SEOUL,SouthKorea",0.208702972,-0.481493517,-0.949747508,0.854533673,-0.472315454,0.587741936,0.235806452,9
"MANILA,Philippines",0.081108402,-0.551054804,1.550540583,-1.29447121,-0.43690674,0.79483871,0.50516129,8
"Mumbai(Bombay),India",0.105977687,-0.556271273,1.159303793,-0.948071042,-0.483092018,0.77,0.234193548,5.5
"SaoPaulo,Brazil",-0.130836222,1.003837467,1.198168375,-0.727304378,-0.483092018,0.874516129,0.534193548,-2
"MEXICOCITY,Mexico",0.107958932,3.997470668,0.40792188,0.364289283,-0.453841342,0.693548387,0.22,-6
"Delhi,India",0.159466996,-0.121039522,0.496014932,-0.469170926,-0.483092018,0.973225807,0.404516129,5.5
"Osaka,Japan",0.192742988,-0.55996942,-0.247594065,-0.138045764,-0.483092018,0.795483871,0.419032258,9
"CAIRO,Egypt",0.166913442,-0.512698417,0.369057299,0.187805362,-0.418432629,0.770645161,0.323225807,2
"Kolkata(Calcutta),India",0.125403589,-0.538881796,0.838023251,-0.800345909,-0.473854963,0.939032258,0.362258065,5.5
"LosAngeles(CA),UnitedStates",0.189179079,-0.389638963,0.431240629,-0.251787586,0.756212945,0.866129032,0.427096774,-8
"Shanghai,China",0.173502311,-0.534402167,-0.3279142,1.074006854,-0.483092018,0.887419355,0.520967742,8
"MOSCOW,Russia",0.309754589,-0.25668975,-1.581944704,-1.275215805,-0.483092018,0.933870968,0.759354839,3
"BEIJING(PEKING),China",0.221690061,-0.461315074,-1.133706528,1.563803322,-0.481552509,0.690645161,0.125806452,8
"BUENOSAIRES,Argentina",-0.192242691,-0.507900384,1.299216288,-1.196054216,-0.035094821,0.780645161,0.390967742,-3
"Guangzhou,China",0.128495056,-0.529588718,0.413103824,0.170589823,2.917683963,0.93516129,0.589677419,8
"Shenzhen,China",0.125239422,-0.566368738,0.511560765,0.075755125,1.761512499,0.901935484,0.611935484,8
"Istanbul,Turkey",0.227823542,-0.486483149,-0.252776009,-0.302439028,0.609959565,0.89483871,0.491612903,2
"RiodeJaneiro,Brazil",-0.127260259,-0.500122982,1.444310726,-1.348705103,0.973283752,0.946774194,0.570967742,-2
"PARIS,France",0.271425633,-0.500848609,-0.31495934,-0.985586984,0.135790709,0.971290323,0.656774194,1
"Karachi,Pakistan",0.138119234,-0.547234027,0.975776602,-0.675802902,-0.483092018,0.62,0.36,5
"Nagoya,Japan",0.19545248,-0.537505518,-0.286223104,-0.522108868,-0.483092018,0.886818182,0.515454546,
"Chicago(IL),UnitedStates",0.232656187,-0.19582657,-0.926428759,-0.391104,-0.229072988,0.764193548,0.464516129,-6
"Lagos,Nigeria",0.036246552,-0.543739687,1.545358639,-1.106841989,0.779305584,0.911612903,0.351935484,1
"LONDON,UnitedKingdom",0.286151949,-0.551133254,-0.283867674,-1.864175805,0.271267525,0.958387097,0.606129032,0
"BANGKOK,Thailand",0.076424061,-0.550994885,1.454674615,-1.075197158,0.309755257,0.930322581,0.402580645,7
"KINSHASA,DemRepofCongo",-0.024677395,0.315699518,1.457265587,-1.190382078,1.727643296,0.947419355,0.526451613,1
"TEHRAN,Iran",0.198273319,1.824446168,-0.177637818,-0.308359959,-0.0982147,0.676774194,0.192903226,3.5
"LIMA,Peru",-0.066924295,-0.284182296,1.239623929,-1.107040962,-0.483092018,0.838709677,0.559032258,-5
"Dongguan,China",0.127892628,-0.554849054,0.511560765,0.075755125,1.761512499,0.901935484,0.611935484,8
"BOGOTA,Colombia",0.026172159,4.662612972,0.392376048,1.083360929,-0.393800481,0.97516129,0.308709677,-5
"Chennai(Madras),India",0.072681557,-0.548484463,1.306989204,-1.011410216,-0.483092018,0.882580645,0.411935484,5.5
"DHAKA,Bangladesh",0.132279622,-0.534689017,0.815136331,-0.735160753,-0.435367231,0.812,0.338,6
"Essen,Germany",0.285864684,-0.401906897,-0.371960726,-1.344973499,-0.132083904,0.933548387,0.69483871,1
"Tianjin(Tientsin),China",0.217134211,-0.55816003,-1.071523198,1.512654446,-0.483092018,0.74,0.308709677,8
"HONGKONG,China-HongKong",0.1244246,0.089968185,0.511560765,0.075755125,1.761512499,0.901935484,0.611935484,8
"Taipei,Taiwan(ChinaROC)",0.139072052,-0.545619422,0.5918809,0.220196422,-0.483092018,0.880967742,0.681290323,8
"Lahore,Pakistan",0.175303367,-0.125740728,0.283555219,-0.323087711,-0.070503534,0.857741936,0.517419355,5
"HoChiMinhCity(Saigon),VietNam",0.060128327,-0.557845916,1.630860719,-1.234167233,-0.483092018,0.79516129,0.423225807,7
